year,month,location_period_id,sm
2009,10,14154,13.1
2009,10,14155,8.243243
2009,10,14157,11.493506
2009,10,14182,8.222222
2009,10,14252,60.0
2009,10,14254,63.4
2009,10,14355,45.833332
2009,10,14357,52.727272
2009,10,14361,42.941177
2009,10,14364,42.468086
2009,10,14371,34.16129
2009,10,14375,25.666666
2009,10,14376,26.1
2009,10,14380,47.0
2009,10,14383,56.03125
2009,10,14385,58.115383
2009,10,14387,20.0
2009,10,14389,43.632652
2009,10,14390,22.666666
2009,10,14391,25.93617
2009,10,14393,41.714287
2009,10,14397,51.288887
2009,10,14400,51.4
2009,10,14401,43.58621
2009,10,14403,44.375
2009,10,14406,49.844444
2009,10,14445,15.333333
2009,10,14455,58.54054
2009,10,14456,53.95238
2009,10,14458,32.0
2009,10,14460,40.0
2009,10,14466,52.0
2009,10,14472,29.307692
2009,10,14487,29.0
2009,10,14489,18.0
2009,10,14517,50.913044
2009,10,14518,33.863636
2009,10,14537,54.857143
2009,10,14548,82.4
2009,10,14588,56.4
2009,10,14591,83.333336
2009,10,14593,49.0
2009,10,14594,81.0
2009,10,14597,44.333332
2009,10,14598,77.0
2009,10,14599,74.666664
2009,10,14600,53.0
2009,10,14612,50.4
2009,10,14626,56.75
2009,10,14635,74.666664
2009,10,14665,73.0
2009,10,14669,77.0
2009,10,14671,76.5
2009,10,14675,56.5
2009,10,14676,65.0
2009,10,14682,58.666668
2009,10,14684,41.0
2009,10,14685,72.5
2009,10,14695,55.7
2009,10,14726,18.37931
2009,10,14752,46.846153
2009,10,14899,79.833336
2009,10,14946,71.61176
2009,10,14967,49.260868
2009,10,14969,30.862745
2009,10,14982,29.619047
2009,10,14983,56.266666
2009,10,14985,60.833332
2009,10,14989,52.166668
2009,10,15058,72.72
2009,10,15121,10.568182
2009,10,15150,44.5
2009,10,15154,9.6470585
2009,10,15169,13.0
2009,10,15175,18.818182
2009,10,15179,6.741573
2009,10,15182,56.0
2009,10,15183,70.38461
2009,10,15195,57.333332
2009,10,15196,63.205883
2009,10,15197,51.18182
2009,10,15200,45.333332
2009,10,15218,37.0
2009,10,15226,73.5
2009,10,15232,16.333334
2009,10,15331,15.428572
2009,10,15334,10.230769
2009,10,15335,11.086957
2009,10,15337,29.933332
2009,10,15345,29.958334
2009,10,15347,29.767443
2009,10,15349,16.047619
2009,10,15356,28.5
2009,10,15366,15.905405
2009,10,15378,7.090909
2009,10,15413,4.2413793
2009,10,15426,26.870968
2009,10,15506,8.808933
2009,10,15510,23.5
2009,10,15511,20.192308
2009,10,15543,17.36
2009,10,16613,15.815534
2009,10,16615,41.784615
2009,10,16616,8.493213
2009,10,16618,2.6385543
2009,10,16619,12.845679
2009,10,16620,8.909091
2009,10,16622,26.57183
2009,10,16623,20.353983
2009,10,16624,7.662037
2009,10,16625,8.941176
2009,10,16627,10.025862
2009,10,16631,11.432836
2009,10,16632,4.926316
2009,10,16634,5.122449
2009,10,16635,29.208956
2009,10,16636,1.5689656
2009,10,16637,2.275
2009,10,16638,3.2058823
2009,10,16639,1.1923077
2009,10,16640,5.076923
2009,10,16643,9.103773
2009,10,16644,4.017544
2009,10,16646,5.9384613
2009,10,16648,10.225
2009,10,16649,12.78
2009,10,16650,8.971429
2009,10,16651,16.43956
2009,10,16652,40.64407
2009,10,16653,0.54385966
2009,10,16654,10.695652
2009,10,16655,4.68
2009,10,16656,5.7438016
2009,10,16659,62.5
2009,10,16662,44.083332
2009,10,16673,35.63158
2009,10,16674,13.785714
2009,10,16675,51.523365
2009,10,16677,37.480427
2009,10,16679,19.6375
2009,10,16681,7.7868853
2009,10,16685,60.056602
2009,10,16686,13.525
2009,10,16687,27.991936
2009,10,16691,12.972973
2009,10,16694,39.198795
2009,10,16697,46.11494
2009,11,92,55.673077
2009,11,1162,60.0
2009,11,1343,16.62857
2009,11,1355,33.035713
2009,11,1842,47.508198
2009,11,1919,76.0
2009,11,2425,18.805555
2009,11,2428,63.019608
2009,11,2520,6.5833335
2009,11,2797,11.689655
2009,11,2832,57.807693
2009,11,3170,23.310345
2009,11,3223,57.883118
2009,11,3331,75.0
2009,11,3559,66.53846
2009,11,3704,10.782609
2009,11,3800,16.087912
2009,11,4463,32.0
2009,11,5445,36.764706
2009,11,5537,64.64286
2009,11,5624,17.956522
2009,11,5853,9.869159
2009,11,6340,66.02381
2009,11,6401,52.133335
2009,11,7188,36.46154
2009,11,7511,11.057895
2009,11,8311,59.5
2009,11,8536,60.31579
2009,11,8667,26.32
2009,11,9661,38.714287
2009,11,9969,17.5
2009,11,10064,44.117645
2009,11,10067,71.35294
2009,11,10288,10.285714
2009,11,10519,11.369565
2009,11,10529,1.972973
2009,11,10686,49.96552
2009,11,10860,22.142857
2009,11,11099,70.85714
2009,11,11259,2.625
2009,11,11484,52.909092
2009,11,11511,52.36111
2009,11,11521,11.895675
2009,11,11531,20.4
2009,11,11532,25.0
2009,11,11536,7.7647057
2009,11,11565,34.25
2009,11,11626,17.8
2009,11,11655,42.285713
2009,11,11718,56.869564
2009,11,11720,58.375
2009,11,11785,54.88889
2009,11,12084,21.421053
2009,11,12091,25.0
2009,11,12092,14.666667
2009,11,12093,25.0
2009,11,12096,34.0
2009,11,12099,23.826086
2009,11,12105,15.0
2009,11,12109,21.5
2009,11,12112,9.5
2009,11,12122,15.0
2009,11,12124,0.85714287
2009,11,12125,17.8
2009,11,12130,12.5
2009,11,12140,22.09091
2009,11,12142,39.61111
2009,11,12154,44.4375
2009,11,12155,46.666668
2009,11,12165,48.0
2009,11,12229,19.0
2009,11,12230,43.62857
2009,11,12235,19.25
2009,11,12236,16.0
2009,11,12242,18.25
2009,11,12281,27.25
2009,11,12283,22.0
2009,11,12284,25.588236
2009,11,12285,24.181818
2009,11,12286,27.027027
2009,11,12287,23.979166
2009,11,12293,31.083334
2009,11,12294,22.0
2009,11,12297,25.716667
2009,11,12298,27.714285
2009,11,12299,15.594595
2009,11,12307,47.666668
2009,11,12314,28.52381
2009,11,12317,30.285715
2009,11,12318,30.0
2009,11,12323,23.163265
2009,11,12324,4.0
2009,11,12325,27.6
2009,11,12334,29.25
2009,11,12425,28.6875
2009,11,12426,30.052631
2009,11,12458,19.6
2009,11,12459,10.0
2009,11,12460,19.0
2009,11,12462,13.0
2009,11,12463,9.625
2009,11,12464,9.0
2009,11,12466,10.0
2009,11,12467,10.833333
2009,11,12470,17.0
2009,11,12501,8.666667
2009,11,12512,27.6
2009,11,12532,34.75
2009,11,12535,28.0
2009,11,12562,44.47059
2009,11,12563,58.857143
2009,11,12570,43.890907
2009,11,12629,23.0
2009,11,12636,32.5
2009,11,12690,22.4
2009,11,12692,10.5
2009,11,12707,13.6470585
2009,11,12711,21.0
2009,11,12720,31.0
2009,11,12726,32.0
2009,11,12727,23.533333
2009,11,12728,30.625
2009,11,12731,20.833334
2009,11,12732,27.09804
2009,11,12734,19.615385
2009,11,12737,22.866667
2009,11,12738,24.40909
2009,11,12745,52.57143
2009,11,12746,65.5
2009,11,12752,54.416668
2009,11,12753,49.94872
2009,11,12757,50.25
2009,11,12765,57.2
2009,11,12766,30.0
